0.4,0.6,0.1,22
0.4,0.6,0.1,20
0.4,0.6,0.1,19.5
0.4,0.6,0.1,26
0.4,0.6,0.1,26
0.4,0.6,0.1,30
0.4,0.6,0.1,18
0.4,0.6,0.1,18
0.4,0.6,0.1,24
0.4,0.6,0.1,22
0.4,0.6,0.1,25
0.4,0.6,0.1,20
0.4,0.6,0.1,20
0.4,0.6,0.1,20
0.4,0.6,0.1,25
0.4,0.6,0.1,25.5
0.4,0.6,0.1,22
0.4,0.6,0.1,20
0.4,0.6,0.1,29.5
0.4,0.6,0.1,26
0.4,0.6,0.1,27.5
0.4,0.6,0.1,22
0.4,0.6,0.1,20
0.4,0.6,0.1,24
0.4,0.6,0.1,33.5
0.4,0.6,0.1,17.5
0.4,0.6,0.1,18
0.4,0.6,0.1,22
0.4,0.6,0.1,29.5
0.4,0.6,0.1,18
0.4,0.6,0.1,27.5
0.4,0.6,0.1,20
0.4,0.6,0.1,26
0.4,0.6,0.1,20
0.4,0.6,0.1,22
0.4,0.6,0.1,27.5
0.4,0.6,0.1,22
0.4,0.6,0.1,18
0.4,0.6,0.1,23.5
0.4,0.6,0.1,22
0.4,0.6,0.1,22
0.4,0.6,0.1,20
0.4,0.6,0.1,27
0.4,0.6,0.1,29.5
0.4,0.6,0.1,22
0.4,0.6,0.1,22
0.4,0.6,0.1,22
0.4,0.6,0.1,17.5
0.4,0.6,0.1,28
0.4,0.6,0.1,0.95
0.4,0.3,0.4,-2.5
0.4,0.3,0.4,6.5
0.4,0.3,0.4,8.5
0.4,0.3,0.4,22
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,18
0.4,0.3,0.4,18
0.4,0.3,0.4,22
0.4,0.3,0.4,22
0.4,0.3,0.4,27
0.4,0.3,0.4,22
0.4,0.3,0.4,20
0.4,0.3,0.4,30
0.4,0.3,0.4,26
0.4,0.3,0.4,20
0.4,0.3,0.4,16
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,26
0.4,0.3,0.4,26
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,20
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,24
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,22
0.4,0.3,0.4,20
0.4,0.3,0.4,22
0.4,0.3,0.4,20
0.4,0.3,0.4,27.5
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,18
0.4,0.3,0.4,22
0.4,0.3,0.4,28
0.4,0.3,0.4,20
0.4,0.3,0.4,26
0.4,0.3,0.4,20
0.4,0.3,0.4,33
0.4,0.3,0.4,20
0.4,0.3,0.4,26
0.4,0.3,0.4,22
0.4,0.3,0.4,28
0.4,0.3,0.4,25.5
0.4,0.3,0.4,18
0.4,0.3,0.4,18
0.4,0.3,0.4,38.5
0.4,0.3,0.4,24
0.4,0.3,0.4,22
0.4,0.3,0.4,22
0.4,0.3,0.4,24
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,27.5
0.4,0.3,0.4,18
0.4,0.3,0.4,20
0.4,0.3,0.4,24
0.4,0.3,0.4,24
0.4,0.3,0.4,27.5
0.4,0.3,0.4,18
0.4,0.3,0.4,21.5
0.4,0.3,0.4,18
0.4,0.3,0.4,24
0.4,0.3,0.4,26
0.4,0.3,0.4,22
0.4,0.3,0.4,18
0.4,0.3,0.4,18
0.4,0.3,0.4,22
0.4,0.3,0.4,31.5
0.4,0.3,0.4,20
0.4,0.3,0.4,30
0.4,0.3,0.4,24
0.4,0.3,0.4,24
0.4,0.3,0.4,22
0.4,0.3,0.4,24
0.4,0.3,0.4,18
0.4,0.3,0.4,23.5
0.4,0.3,0.4,26
0.4,0.3,0.4,20
0.4,0.3,0.4,22
0.4,0.3,0.4,22
0.4,0.3,0.4,20
0.4,0.3,0.4,20
0.4,0.3,0.4,18
0.4,0.3,0.4,20
0.4,0.3,0.4,20
0.4,0.3,0.4,0.97
0.5,0.5,0.2,1
0.5,0.5,0.2,-1
0.5,0.5,0.2,4
0.5,0.5,0.2,19
0.5,0.5,0.2,20
0.5,0.5,0.2,28
0.5,0.5,0.2,22
0.5,0.5,0.2,23
0.5,0.5,0.2,24
0.5,0.5,0.2,26
0.5,0.5,0.2,25.5
0.5,0.5,0.2,18
0.5,0.5,0.2,18
0.5,0.5,0.2,24
0.5,0.5,0.2,28
0.5,0.5,0.2,20
0.5,0.5,0.2,18
0.5,0.5,0.2,24
0.5,0.5,0.2,28
0.5,0.5,0.2,18
0.5,0.5,0.2,18
0.5,0.5,0.2,20
0.5,0.5,0.2,20
0.5,0.5,0.2,24
0.5,0.5,0.2,18
0.5,0.5,0.2,26
0.5,0.5,0.2,20
0.5,0.5,0.2,20
0.5,0.5,0.2,25.5
0.5,0.5,0.2,24
0.5,0.5,0.2,18
0.5,0.5,0.2,28
0.5,0.5,0.2,24
0.5,0.5,0.2,23.5
0.5,0.5,0.2,20
0.5,0.5,0.2,23.5
0.5,0.5,0.2,24
0.5,0.5,0.2,18
0.5,0.5,0.2,18
0.5,0.5,0.2,22
0.5,0.5,0.2,13.5
0.5,0.5,0.2,23.5
0.5,0.5,0.2,27.5
0.5,0.5,0.2,13.5
0.5,0.5,0.2,24
0.5,0.5,0.2,18
0.5,0.5,0.2,27
0.5,0.5,0.2,23.5
0.5,0.5,0.2,21.5
0.5,0.5,0.2,24
0.5,0.5,0.2,23.5
0.5,0.5,0.2,29.5
0.5,0.5,0.2,28
0.5,0.5,0.2,20
0.5,0.5,0.2,26
0.5,0.5,0.2,27.5
0.5,0.5,0.2,26
0.5,0.5,0.2,24
0.5,0.5,0.2,13.5
0.5,0.5,0.2,20
0.5,0.5,0.2,20
0.5,0.5,0.2,28
0.5,0.5,0.2,26.5
0.5,0.5,0.2,18
0.5,0.5,0.2,18
0.5,0.5,0.2,11.5
0.5,0.5,0.2,21.5
0.5,0.5,0.2,18
0.5,0.5,0.2,20
0.5,0.5,0.2,26
0.5,0.5,0.2,32
0.5,0.5,0.2,26
0.5,0.5,0.2,26
0.5,0.5,0.2,24
0.5,0.5,0.2,30
0.5,0.5,0.2,22
0.5,0.5,0.2,24
0.5,0.5,0.2,26
0.5,0.5,0.2,18
0.5,0.5,0.2,16
0.5,0.5,0.2,18
0.5,0.5,0.2,18
0.5,0.5,0.2,22
0.5,0.5,0.2,18
0.5,0.5,0.2,28
0.5,0.5,0.2,32
0.5,0.5,0.2,18
0.5,0.5,0.2,25.5
0.5,0.5,0.2,24
0.5,0.5,0.2,22
0.5,0.5,0.2,24
0.5,0.5,0.2,14
0.5,0.5,0.2,28
0.5,0.5,0.2,22
0.5,0.5,0.2,22
0.5,0.5,0.2,24
0.5,0.5,0.2,18
0.5,0.5,0.2,24
0.5,0.5,0.2,20
0.5,0.5,0.2,43.5
0.5,0.5,0.2,0.96
0.3,0.5,0.5,5.5
0.3,0.5,0.5,26.5
0.3,0.5,0.5,22
0.3,0.5,0.5,20
0.3,0.5,0.5,20
0.3,0.5,0.5,22
0.3,0.5,0.5,24
0.3,0.5,0.5,28
0.3,0.5,0.5,24
0.3,0.5,0.5,27.5
0.3,0.5,0.5,28
0.3,0.5,0.5,18
0.3,0.5,0.5,26
0.3,0.5,0.5,24
0.3,0.5,0.5,18
0.3,0.5,0.5,28
0.3,0.5,0.5,20
0.3,0.5,0.5,24
0.3,0.5,0.5,20
0.3,0.5,0.5,23
0.3,0.5,0.5,18
0.3,0.5,0.5,24.5
0.3,0.5,0.5,34
0.3,0.5,0.5,18
0.3,0.5,0.5,24
0.3,0.5,0.5,27.5
0.3,0.5,0.5,18
0.3,0.5,0.5,22
0.3,0.5,0.5,28
0.3,0.5,0.5,18
0.3,0.5,0.5,25.5
0.3,0.5,0.5,24
0.3,0.5,0.5,23.5
0.3,0.5,0.5,20
0.3,0.5,0.5,17.5
0.3,0.5,0.5,22
0.3,0.5,0.5,18
0.3,0.5,0.5,34.5
0.3,0.5,0.5,24
0.3,0.5,0.5,27
0.3,0.5,0.5,22
0.3,0.5,0.5,23
0.3,0.5,0.5,24
0.3,0.5,0.5,22
0.3,0.5,0.5,31
0.3,0.5,0.5,18
0.3,0.5,0.5,22
0.3,0.5,0.5,25
0.3,0.5,0.5,35
0.3,0.5,0.5,29.5
0.3,0.5,0.5,31.5
0.3,0.5,0.5,25.5
0.3,0.5,0.5,18
0.3,0.5,0.5,18
0.3,0.5,0.5,20
0.3,0.5,0.5,22
0.3,0.5,0.5,22
0.3,0.5,0.5,20
0.3,0.5,0.5,22
0.3,0.5,0.5,18
0.3,0.5,0.5,14.5
0.3,0.5,0.5,27.5
0.3,0.5,0.5,28
0.3,0.5,0.5,24
0.3,0.5,0.5,31.5
0.3,0.5,0.5,29.5
0.3,0.5,0.5,21
0.3,0.5,0.5,31
0.3,0.5,0.5,30.5
0.3,0.5,0.5,20
0.3,0.5,0.5,27.5
0.3,0.5,0.5,29.5
0.3,0.5,0.5,24
0.3,0.5,0.5,21.5
0.3,0.5,0.5,29
0.3,0.5,0.5,26
0.3,0.5,0.5,22
0.3,0.5,0.5,17
0.3,0.5,0.5,23.5
0.3,0.5,0.5,22
0.3,0.5,0.5,37.5
0.3,0.5,0.5,22
0.3,0.5,0.5,18
0.3,0.5,0.5,24
0.3,0.5,0.5,28
0.3,0.5,0.5,9.5
0.3,0.5,0.5,29
0.3,0.5,0.5,27.5
0.3,0.5,0.5,26
0.3,0.5,0.5,20
0.3,0.5,0.5,26
0.3,0.5,0.5,24
0.3,0.5,0.5,17.5
0.3,0.5,0.5,25.5
0.3,0.5,0.5,37
0.3,0.5,0.5,25.5
0.3,0.5,0.5,31
0.3,0.5,0.5,40.5
0.3,0.5,0.5,25.5
0.3,0.5,0.5,18
0.3,0.5,0.5,0.97
0.6,0.5,0.4,17
0.6,0.5,0.4,43
0.6,0.5,0.4,17
0.6,0.5,0.4,31
0.6,0.5,0.4,39.5
0.6,0.5,0.4,18
0.6,0.5,0.4,23.5
0.6,0.5,0.4,22.5
0.6,0.5,0.4,28.5
0.6,0.5,0.4,23.5
0.6,0.5,0.4,18
0.6,0.5,0.4,21.5
0.6,0.5,0.4,26.5
0.6,0.5,0.4,18
0.6,0.5,0.4,27.5
0.6,0.5,0.4,31
0.6,0.5,0.4,19.5
0.6,0.5,0.4,5.5
0.6,0.5,0.4,26
0.6,0.5,0.4,25.5
0.6,0.5,0.4,23
0.6,0.5,0.4,24
0.6,0.5,0.4,16
0.6,0.5,0.4,18
0.6,0.5,0.4,23
0.6,0.5,0.4,28
0.6,0.5,0.4,28
0.6,0.5,0.4,15.5
0.6,0.5,0.4,20
0.6,0.5,0.4,18
0.6,0.5,0.4,23.5
0.6,0.5,0.4,22
0.6,0.5,0.4,18
0.6,0.5,0.4,23
0.6,0.5,0.4,18
0.6,0.5,0.4,30
0.6,0.5,0.4,17.5
0.6,0.5,0.4,20
0.6,0.5,0.4,27.5
0.6,0.5,0.4,22
0.6,0.5,0.4,30
0.6,0.5,0.4,19.5
0.6,0.5,0.4,35.5
0.6,0.5,0.4,32.5
0.6,0.5,0.4,29.5
0.6,0.5,0.4,18
0.6,0.5,0.4,35.5
0.6,0.5,0.4,31.5
0.6,0.5,0.4,22
0.6,0.5,0.4,25.5
0.6,0.5,0.4,31
0.6,0.5,0.4,22
0.6,0.5,0.4,28
0.6,0.5,0.4,28
0.6,0.5,0.4,26
0.6,0.5,0.4,28.5
0.6,0.5,0.4,16
0.6,0.5,0.4,25.5
0.6,0.5,0.4,20
0.6,0.5,0.4,23.5
0.6,0.5,0.4,24
0.6,0.5,0.4,20
0.6,0.5,0.4,22
0.6,0.5,0.4,22
0.6,0.5,0.4,39
0.6,0.5,0.4,20
0.6,0.5,0.4,29.5
0.6,0.5,0.4,21.5
0.6,0.5,0.4,22
0.6,0.5,0.4,24
0.6,0.5,0.4,23.5
0.6,0.5,0.4,31.5
0.6,0.5,0.4,20
0.6,0.5,0.4,28
0.6,0.5,0.4,27
0.6,0.5,0.4,28
0.6,0.5,0.4,19.5
0.6,0.5,0.4,27
0.6,0.5,0.4,20
0.6,0.5,0.4,33.5
0.6,0.5,0.4,32
0.6,0.5,0.4,26
0.6,0.5,0.4,33
0.6,0.5,0.4,23.5
0.6,0.5,0.4,18
0.6,0.5,0.4,29.5
0.6,0.5,0.4,35.5
0.6,0.5,0.4,17.5
0.6,0.5,0.4,18
0.6,0.5,0.4,22
0.6,0.5,0.4,29.5
0.6,0.5,0.4,20
0.6,0.5,0.4,28
0.6,0.5,0.4,19
0.6,0.5,0.4,25.5
0.6,0.5,0.4,20
0.6,0.5,0.4,21.5
0.6,0.5,0.4,26
0.6,0.5,0.4,28.5
0.6,0.5,0.4,22
0.6,0.5,0.4,0.98
0.3,0.5,0.4,3
0.3,0.5,0.4,19.5
0.3,0.5,0.4,19
0.3,0.5,0.4,24
0.3,0.5,0.4,24
0.3,0.5,0.4,27
0.3,0.5,0.4,18
0.3,0.5,0.4,18
0.3,0.5,0.4,20
0.3,0.5,0.4,21.5
0.3,0.5,0.4,28
0.3,0.5,0.4,24
0.3,0.5,0.4,24
0.3,0.5,0.4,22
0.3,0.5,0.4,17.5
0.3,0.5,0.4,15.5
0.3,0.5,0.4,23.5
0.3,0.5,0.4,19.5
0.3,0.5,0.4,30
0.3,0.5,0.4,25
0.3,0.5,0.4,27.5
0.3,0.5,0.4,25.5
0.3,0.5,0.4,20
0.3,0.5,0.4,28
0.3,0.5,0.4,19
0.3,0.5,0.4,10.5
0.3,0.5,0.4,20
0.3,0.5,0.4,25
0.3,0.5,0.4,15.5
0.3,0.5,0.4,24
0.3,0.5,0.4,29.5
0.3,0.5,0.4,17
0.3,0.5,0.4,15.5
0.3,0.5,0.4,25.5
0.3,0.5,0.4,24
0.3,0.5,0.4,23.5
0.3,0.5,0.4,17
0.3,0.5,0.4,27
0.3,0.5,0.4,26
0.3,0.5,0.4,32
0.3,0.5,0.4,25
0.3,0.5,0.4,18
0.3,0.5,0.4,27.5
0.3,0.5,0.4,24
0.3,0.5,0.4,17.5
0.3,0.5,0.4,20
0.3,0.5,0.4,18
0.3,0.5,0.4,30
0.3,0.5,0.4,22
0.3,0.5,0.4,18.5
0.3,0.5,0.4,17.5
0.3,0.5,0.4,30
0.3,0.5,0.4,21
0.3,0.5,0.4,26.5
0.3,0.5,0.4,22
0.3,0.5,0.4,20
0.3,0.5,0.4,20
0.3,0.5,0.4,23.5
0.3,0.5,0.4,18
0.3,0.5,0.4,30
0.3,0.5,0.4,20
0.3,0.5,0.4,20
0.3,0.5,0.4,23.5
0.3,0.5,0.4,24
0.3,0.5,0.4,18
0.3,0.5,0.4,18
0.3,0.5,0.4,30
0.3,0.5,0.4,29.5
0.3,0.5,0.4,18
0.3,0.5,0.4,26
0.3,0.5,0.4,22
0.3,0.5,0.4,24
0.3,0.5,0.4,26
0.3,0.5,0.4,28
0.3,0.5,0.4,20
0.3,0.5,0.4,22
0.3,0.5,0.4,23
0.3,0.5,0.4,27.5
0.3,0.5,0.4,24
0.3,0.5,0.4,26
0.3,0.5,0.4,20
0.3,0.5,0.4,29.5
0.3,0.5,0.4,26
0.3,0.5,0.4,18
0.3,0.5,0.4,23.5
0.3,0.5,0.4,17.5
0.3,0.5,0.4,17
0.3,0.5,0.4,22
0.3,0.5,0.4,20
0.3,0.5,0.4,18
0.3,0.5,0.4,23
0.3,0.5,0.4,18
0.3,0.5,0.4,27.5
0.3,0.5,0.4,21.5
0.3,0.5,0.4,26
0.3,0.5,0.4,24
0.3,0.5,0.4,37.5
0.3,0.5,0.4,19
0.3,0.5,0.4,22
0.3,0.5,0.4,28
0.3,0.5,0.4,0.96
0.4,0.6,0.2,-2.5
0.4,0.6,0.2,4
0.4,0.6,0.2,-1.5
0.4,0.6,0.2,4
0.4,0.6,0.2,25
0.4,0.6,0.2,4
0.4,0.6,0.2,28
0.4,0.6,0.2,18
0.4,0.6,0.2,18
0.4,0.6,0.2,25
0.4,0.6,0.2,18
0.4,0.6,0.2,20
0.4,0.6,0.2,20
0.4,0.6,0.2,26
0.4,0.6,0.2,18
0.4,0.6,0.2,28
0.4,0.6,0.2,19.5
0.4,0.6,0.2,23.5
0.4,0.6,0.2,29.5
0.4,0.6,0.2,9.5
0.4,0.6,0.2,25
0.4,0.6,0.2,33.5
0.4,0.6,0.2,10.5
0.4,0.6,0.2,20
0.4,0.6,0.2,21.5
0.4,0.6,0.2,22.5
0.4,0.6,0.2,15.5
0.4,0.6,0.2,20
0.4,0.6,0.2,22
0.4,0.6,0.2,14.5
0.4,0.6,0.2,28
0.4,0.6,0.2,20
0.4,0.6,0.2,18
0.4,0.6,0.2,24
0.4,0.6,0.2,15
0.4,0.6,0.2,24
0.4,0.6,0.2,11.5
0.4,0.6,0.2,10.5
0.4,0.6,0.2,11
0.4,0.6,0.2,23.5
0.4,0.6,0.2,18
0.4,0.6,0.2,5.5
0.4,0.6,0.2,25.5
0.4,0.6,0.2,35.5
0.4,0.6,0.2,20
0.4,0.6,0.2,33.5
0.4,0.6,0.2,10.5
0.4,0.6,0.2,19.5
0.4,0.6,0.2,13
0.4,0.6,0.2,16
0.4,0.6,0.2,11.5
0.4,0.6,0.2,18.5
0.4,0.6,0.2,33.5
0.4,0.6,0.2,25.5
0.4,0.6,0.2,29.5
0.4,0.6,0.2,30
0.4,0.6,0.2,24
0.4,0.6,0.2,22
0.4,0.6,0.2,26
0.4,0.6,0.2,18
0.4,0.6,0.2,28
0.4,0.6,0.2,24
0.4,0.6,0.2,29.5
0.4,0.6,0.2,23.5
0.4,0.6,0.2,19.5
0.4,0.6,0.2,20
0.4,0.6,0.2,25.5
0.4,0.6,0.2,24
0.4,0.6,0.2,20
0.4,0.6,0.2,24
0.4,0.6,0.2,18
0.4,0.6,0.2,29.5
0.4,0.6,0.2,23.5
0.4,0.6,0.2,13
0.4,0.6,0.2,7.5
0.4,0.6,0.2,19.5
0.4,0.6,0.2,20
0.4,0.6,0.2,21
0.4,0.6,0.2,17.5
0.4,0.6,0.2,18
0.4,0.6,0.2,23.5
0.4,0.6,0.2,29
0.4,0.6,0.2,18
0.4,0.6,0.2,33.5
0.4,0.6,0.2,28
0.4,0.6,0.2,20
0.4,0.6,0.2,20
0.4,0.6,0.2,20
0.4,0.6,0.2,15.5
0.4,0.6,0.2,26
0.4,0.6,0.2,32.5
0.4,0.6,0.2,20
0.4,0.6,0.2,20
0.4,0.6,0.2,18
0.4,0.6,0.2,27.5
0.4,0.6,0.2,27
0.4,0.6,0.2,27
0.4,0.6,0.2,26
0.4,0.6,0.2,18
0.4,0.6,0.2,29.5
0.4,0.6,0.2,0.7
0.6,0.3,0.1,1.5
0.6,0.3,0.1,-1
0.6,0.3,0.1,0
0.6,0.3,0.1,0
0.6,0.3,0.1,-1.5
0.6,0.3,0.1,3.5
0.6,0.3,0.1,0
0.6,0.3,0.1,26
0.6,0.3,0.1,20
0.6,0.3,0.1,22
0.6,0.3,0.1,18
0.6,0.3,0.1,25.5
0.6,0.3,0.1,26
0.6,0.3,0.1,32
0.6,0.3,0.1,23
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,1
0.6,0.3,0.1,17
0.6,0.3,0.1,20
0.6,0.3,0.1,22
0.6,0.3,0.1,19
0.6,0.3,0.1,20
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,24
0.6,0.3,0.1,28
0.6,0.3,0.1,27.5
0.6,0.3,0.1,22
0.6,0.3,0.1,18
0.6,0.3,0.1,25
0.6,0.3,0.1,22
0.6,0.3,0.1,22
0.6,0.3,0.1,20
0.6,0.3,0.1,20
0.6,0.3,0.1,18
0.6,0.3,0.1,20
0.6,0.3,0.1,20
0.6,0.3,0.1,20
0.6,0.3,0.1,22
0.6,0.3,0.1,28
0.6,0.3,0.1,19
0.6,0.3,0.1,28
0.6,0.3,0.1,18
0.6,0.3,0.1,26
0.6,0.3,0.1,28
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,22
0.6,0.3,0.1,30
0.6,0.3,0.1,18
0.6,0.3,0.1,1
0.6,0.3,0.1,22
0.6,0.3,0.1,22
0.6,0.3,0.1,20
0.6,0.3,0.1,30
0.6,0.3,0.1,17.5
0.6,0.3,0.1,18
0.6,0.3,0.1,24
0.6,0.3,0.1,22
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,26
0.6,0.3,0.1,20
0.6,0.3,0.1,26
0.6,0.3,0.1,20
0.6,0.3,0.1,22
0.6,0.3,0.1,20
0.6,0.3,0.1,26
0.6,0.3,0.1,18
0.6,0.3,0.1,24
0.6,0.3,0.1,20
0.6,0.3,0.1,22
0.6,0.3,0.1,18
0.6,0.3,0.1,22
0.6,0.3,0.1,24
0.6,0.3,0.1,26
0.6,0.3,0.1,22
0.6,0.3,0.1,20
0.6,0.3,0.1,20
0.6,0.3,0.1,22
0.6,0.3,0.1,26
0.6,0.3,0.1,24
0.6,0.3,0.1,18
0.6,0.3,0.1,22
0.6,0.3,0.1,33.5
0.6,0.3,0.1,22
0.6,0.3,0.1,24
0.6,0.3,0.1,20
0.6,0.3,0.1,24
0.6,0.3,0.1,26
0.6,0.3,0.1,24
0.6,0.3,0.1,22
0.6,0.3,0.1,18
0.6,0.3,0.1,18
0.6,0.3,0.1,22
0.6,0.3,0.1,18
0.6,0.3,0.1,26
0.6,0.3,0.1,0.9
0.3,0.6,0.1,5.5
0.3,0.6,0.1,-1
0.3,0.6,0.1,-1
0.3,0.6,0.1,0
0.3,0.6,0.1,2
0.3,0.6,0.1,2.5
0.3,0.6,0.1,0
0.3,0.6,0.1,25
0.3,0.6,0.1,20
0.3,0.6,0.1,18
0.3,0.6,0.1,22
0.3,0.6,0.1,18
0.3,0.6,0.1,20
0.3,0.6,0.1,26
0.3,0.6,0.1,28
0.3,0.6,0.1,18
0.3,0.6,0.1,22
0.3,0.6,0.1,12
0.3,0.6,0.1,18
0.3,0.6,0.1,26
0.3,0.6,0.1,24
0.3,0.6,0.1,21
0.3,0.6,0.1,18
0.3,0.6,0.1,28
0.3,0.6,0.1,2
0.3,0.6,0.1,28
0.3,0.6,0.1,30
0.3,0.6,0.1,28.5
0.3,0.6,0.1,20
0.3,0.6,0.1,22
0.3,0.6,0.1,22
0.3,0.6,0.1,22
0.3,0.6,0.1,26
0.3,0.6,0.1,18
0.3,0.6,0.1,18
0.3,0.6,0.1,25.5
0.3,0.6,0.1,22
0.3,0.6,0.1,18
0.3,0.6,0.1,13.5
0.3,0.6,0.1,26
0.3,0.6,0.1,19.5
0.3,0.6,0.1,22
0.3,0.6,0.1,9.5
0.3,0.6,0.1,21
0.3,0.6,0.1,19.5
0.3,0.6,0.1,22
0.3,0.6,0.1,18
0.3,0.6,0.1,28
0.3,0.6,0.1,25.5
0.3,0.6,0.1,18
0.3,0.6,0.1,18
0.3,0.6,0.1,28
0.3,0.6,0.1,21.5
0.3,0.6,0.1,20
0.3,0.6,0.1,24
0.3,0.6,0.1,24
0.3,0.6,0.1,20
0.3,0.6,0.1,18
0.3,0.6,0.1,17.5
0.3,0.6,0.1,24
0.3,0.6,0.1,18
0.3,0.6,0.1,26
0.3,0.6,0.1,24
0.3,0.6,0.1,24
0.3,0.6,0.1,21.5
0.3,0.6,0.1,23
0.3,0.6,0.1,32
0.3,0.6,0.1,24
0.3,0.6,0.1,18
0.3,0.6,0.1,18
0.3,0.6,0.1,25.5
0.3,0.6,0.1,30
0.3,0.6,0.1,28
0.3,0.6,0.1,22
0.3,0.6,0.1,24
0.3,0.6,0.1,27.5
0.3,0.6,0.1,2
0.3,0.6,0.1,24
0.3,0.6,0.1,19.5
0.3,0.6,0.1,19.5
0.3,0.6,0.1,27.5
0.3,0.6,0.1,29
0.3,0.6,0.1,25.5
0.3,0.6,0.1,22
0.3,0.6,0.1,38.5
0.3,0.6,0.1,18
0.3,0.6,0.1,25.5
0.3,0.6,0.1,20
0.3,0.6,0.1,23.5
0.3,0.6,0.1,21.5
0.3,0.6,0.1,20
0.3,0.6,0.1,34
0.3,0.6,0.1,24
0.3,0.6,0.1,24
0.3,0.6,0.1,30
0.3,0.6,0.1,29
0.3,0.6,0.1,21
0.3,0.6,0.1,22
0.3,0.6,0.1,33.5
0.3,0.6,0.1,18
0.3,0.6,0.1,0.89
0.5,0.5,0.3,-1.5
0.5,0.5,0.3,10
0.5,0.5,0.3,6
0.5,0.5,0.3,19
0.5,0.5,0.3,22.5
0.5,0.5,0.3,16.5
0.5,0.5,0.3,27.5
0.5,0.5,0.3,13
0.5,0.5,0.3,17.5
0.5,0.5,0.3,26
0.5,0.5,0.3,26
0.5,0.5,0.3,22
0.5,0.5,0.3,26
0.5,0.5,0.3,24
0.5,0.5,0.3,18
0.5,0.5,0.3,28
0.5,0.5,0.3,22
0.5,0.5,0.3,25.5
0.5,0.5,0.3,24
0.5,0.5,0.3,20
0.5,0.5,0.3,22
0.5,0.5,0.3,29.5
0.5,0.5,0.3,23.5
0.5,0.5,0.3,19.5
0.5,0.5,0.3,29.5
0.5,0.5,0.3,18
0.5,0.5,0.3,24
0.5,0.5,0.3,27.5
0.5,0.5,0.3,24
0.5,0.5,0.3,18
0.5,0.5,0.3,27.5
0.5,0.5,0.3,30
0.5,0.5,0.3,22
0.5,0.5,0.3,18
0.5,0.5,0.3,18
0.5,0.5,0.3,20
0.5,0.5,0.3,20
0.5,0.5,0.3,22
0.5,0.5,0.3,22
0.5,0.5,0.3,22
0.5,0.5,0.3,22
0.5,0.5,0.3,24
0.5,0.5,0.3,22
0.5,0.5,0.3,21
0.5,0.5,0.3,20
0.5,0.5,0.3,22
0.5,0.5,0.3,20
0.5,0.5,0.3,20
0.5,0.5,0.3,26
0.5,0.5,0.3,18
0.5,0.5,0.3,20
0.5,0.5,0.3,22
0.5,0.5,0.3,24
0.5,0.5,0.3,22
0.5,0.5,0.3,23.5
0.5,0.5,0.3,22
0.5,0.5,0.3,22
0.5,0.5,0.3,27.5
0.5,0.5,0.3,18.5
0.5,0.5,0.3,24
0.5,0.5,0.3,26
0.5,0.5,0.3,18
0.5,0.5,0.3,26
0.5,0.5,0.3,26
0.5,0.5,0.3,18
0.5,0.5,0.3,20
0.5,0.5,0.3,24
0.5,0.5,0.3,20
0.5,0.5,0.3,22
0.5,0.5,0.3,22
0.5,0.5,0.3,20
0.5,0.5,0.3,16.5
0.5,0.5,0.3,28
0.5,0.5,0.3,18
0.5,0.5,0.3,25.5
0.5,0.5,0.3,25.5
0.5,0.5,0.3,18
0.5,0.5,0.3,26
0.5,0.5,0.3,18
0.5,0.5,0.3,22
0.5,0.5,0.3,26
0.5,0.5,0.3,24
0.5,0.5,0.3,30
0.5,0.5,0.3,20
0.5,0.5,0.3,26
0.5,0.5,0.3,15.5
0.5,0.5,0.3,27
0.5,0.5,0.3,21.5
0.5,0.5,0.3,22
0.5,0.5,0.3,25
0.5,0.5,0.3,18
0.5,0.5,0.3,18
0.5,0.5,0.3,30
0.5,0.5,0.3,28
0.5,0.5,0.3,24
0.5,0.5,0.3,23.5
0.5,0.5,0.3,30
0.5,0.5,0.3,26
0.5,0.5,0.3,18
0.5,0.5,0.3,20
0.5,0.5,0.3,0.96
0.5,0.6,0.5,8
0.5,0.6,0.5,19
0.5,0.6,0.5,17
0.5,0.6,0.5,18.5
0.5,0.6,0.5,20
